Disease,ICD10code,ICD10codeDescr,Provenance,Exclude
Congenital cardiac disease,Q20.0,Common arterial trunk,Cross-mapped,NA
Congenital cardiac disease,Q20.1,Double outlet right ventricle,Cross-mapped,NA
Congenital cardiac disease,Q20.3,Discordant ventriculoarterial connection,Cross-mapped,NA
Congenital cardiac disease,Q20.4,Double inlet ventricle,Cross-mapped,NA
Congenital cardiac disease,Q20.5,Discordant atrioventricular connection,Cross-mapped,NA
Congenital cardiac disease,Q20.8,Other congenital malformations of cardiac chambers and connections,Cross-mapped,NA
Congenital cardiac disease,Q21,Congenital malformations of cardiac septa,Kuan,NA
Congenital cardiac disease,Q21.0,Ventricular septal defect,Cross-mapped,NA
Congenital cardiac disease,Q21.1,Atrial septal defect,Cross-mapped,NA
Congenital cardiac disease,Q21.2,Atrioventricular septal defect,Cross-mapped,NA
Congenital cardiac disease,Q21.3,Tetralogy of Fallot,Cross-mapped,NA
Congenital cardiac disease,Q21.4,Aortopulmonary septal defect,Cross-mapped,NA
Congenital cardiac disease,Q21.8,Other congenital malformations of cardiac septa,Cross-mapped,NA
Congenital cardiac disease,Q21.9,"Congenital malformation of cardiac septum, unspecified",Cross-mapped,NA
Congenital cardiac disease,Q22.3,Other congenital malformations of pulmonary valve,Cross-mapped,NA
Congenital cardiac disease,Q22.4,Congenital tricuspid stenosis,Cross-mapped,NA
Congenital cardiac disease,Q22.5,Ebstein anomaly,Cross-mapped,NA
Congenital cardiac disease,Q22.6,Hypoplastic right heart syndrome,Cross-mapped,NA
Congenital cardiac disease,Q22.9,"Congenital malformation of tricuspid valve, unspecified",Cross-mapped,NA
Congenital cardiac disease,Q23.1,Congenital insufficiency of aortic valve,Cross-mapped,NA
Congenital cardiac disease,Q23.2,Congenital mitral stenosis,Cross-mapped,NA
Congenital cardiac disease,Q23.3,Congenital mitral insufficiency,Cross-mapped,NA
Congenital cardiac disease,Q23.4,Hypoplastic left heart syndrome,Cross-mapped,NA
Congenital cardiac disease,Q23.8,Other congenital malformations of aortic and mitral valves,Cross-mapped,NA
Congenital cardiac disease,Q24,Other congenital malformations of heart,Cross-mapped,NA
Congenital cardiac disease,Q24.6,Congenital heart block,Cross-mapped,NA
Congenital cardiac disease,Q24.8,Other specified congenital malformations of heart,Cross-mapped,NA
Congenital cardiac disease,Q24.9,"Congenital malformation of heart, unspecified",Cross-mapped,NA
Congenital cardiac disease,Q25.1,Coarctation of aorta,Cross-mapped,NA
Congenital cardiac disease,Q25.4,Other congenital malformations of aorta,Cross-mapped,NA
Congenital cardiac disease,Q25.6,Stenosis of pulmonary artery,Cross-mapped,NA
Constipation,K58.9,Irritable bowel syndrome without diarrhoea,New code list,NA
Constipation,K59.0,Constipation,New code list,NA
COPD,J40,Bronchitis,Kuan,NA
COPD,J41,Simple and mucopurulent chronic bronchitis,Kuan,NA
COPD,J41.0,Simple chronic bronchitis,Cross-mapped,NA
COPD,J41.1,Mucopurulent chronic bronchitis,Cross-mapped,NA
COPD,J41.8,Mixed simple and mucopurulent chronic bronchitis,Cross-mapped,NA
COPD,J42,Unspecified chronic bronchitis,Overlap,NA
COPD,J43,Emphysema,Overlap,NA
COPD,J43.0,MacLeod syndrome,Cross-mapped,NA
COPD,J43.1,Panlobular emphysema,Cross-mapped,NA
COPD,J43.2,Centrilobular emphysema,Cross-mapped,NA
COPD,J43.8,Other emphysema,Cross-mapped,NA
COPD,J43.9,"Emphysema, unspecified",Cross-mapped,NA
COPD,J44,Other chronic obstructive pulmonary disease,Overlap,NA
COPD,J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",Cross-mapped,NA
COPD,J44.8,Other specified chronic obstructive pulmonary disease,Cross-mapped,NA
COPD,J44.9,"Chronic obstructive pulmonary disease, unspecified",Cross-mapped,NA
COPD,J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapours",Cross-mapped,NA
COPD,J82,"Pulmonary eosinophilia, not elsewhere classified",Cross-mapped,NA
Coronary heart disease,I20,Angina pectoris,Cross-mapped,NA
Coronary heart disease,I20.0,Unstable angina,Cross-mapped,NA
Coronary heart disease,I20.8,Other forms of angina pectoris,Cross-mapped,NA
Coronary heart disease,I20.9,"Angina pectoris, unspecified",Cross-mapped,NA
Coronary heart disease,I200,Unstable angina,Kuan,NA
Coronary heart disease,I201,Angina pectoris with documented spasm,Kuan,NA
Coronary heart disease,I208,Other forms of angina pectoris,Kuan,NA
Coronary heart disease,I209,Angina pectoris,Kuan,NA
Coronary heart disease,I21,Acute myocardial infarction,Overlap,NA
Coronary heart disease,I21.0,Acute transmural myocardial infarction of anterior wall,Cross-mapped,NA
Coronary heart disease,I21.1,Acute transmural myocardial infarction of inferior wall,Cross-mapped,NA
Coronary heart disease,I21.2,Acute transmural myocardial infarction of other sites,Cross-mapped,NA
Coronary heart disease,I21.3,Acute transmural myocardial infarction of unspecified site,Cross-mapped,NA
Coronary heart disease,I21.4,Acute subendocardial myocardial infarction,Cross-mapped,NA
Coronary heart disease,I21.9,"Acute myocardial infarction, unspecified",Cross-mapped,NA
Coronary heart disease,I22,Subsequent myocardial infarction,Overlap,NA
Coronary heart disease,I22.0,Subsequent myocardial infarction of anterior wall,Cross-mapped,NA
Coronary heart disease,I22.1,Subsequent myocardial infarction of inferior wall,Cross-mapped,NA
Coronary heart disease,I22.8,Subsequent myocardial infarction of other sites,Cross-mapped,NA
Coronary heart disease,I22.9,Subsequent myocardial infarction of unspecified site,Cross-mapped,NA
Coronary heart disease,I23,Certain current complications following acute myocardial infarction,Kuan,NA
Coronary heart disease,I23.8,Other current complications following acute myocardial infarction,Cross-mapped,NA
Coronary heart disease,I24,Other acute ischaemic heart diseases,Cross-mapped,NA
Coronary heart disease,I24.0,Coronary thrombosis not resulting in myocardial infarction,Cross-mapped,NA
Coronary heart disease,I24.1,Dressler syndrome,Cross-mapped,NA
Coronary heart disease,I24.8,Other forms of acute ischaemic heart disease,Cross-mapped,NA
Coronary heart disease,I24.9,"Acute ischaemic heart disease, unspecified",Cross-mapped,NA
Coronary heart disease,I241,Dressler's syndrome,Kuan,NA
Coronary heart disease,I25,Chronic ischaemic heart disease,Cross-mapped,NA
Coronary heart disease,I25.1,Atherosclerotic heart disease,Cross-mapped,NA
Coronary heart disease,I25.2,Old myocardial infarction,Cross-mapped,NA
Coronary heart disease,I25.5,Ischaemic cardiomyopathy,Cross-mapped,NA
Coronary heart disease,I25.6,Silent myocardial ischaemia,Cross-mapped,NA
Coronary heart disease,I25.8,Other forms of chronic ischaemic heart disease,Cross-mapped,NA
Coronary heart disease,I25.9,"Chronic ischaemic heart disease, unspecified",Cross-mapped,NA
Coronary heart disease,I250,"Atherosclerotic cardiovascular disease, so described",Kuan,NA
Coronary heart disease,I251,Atherosclerotic heart disease,Kuan,NA
Coronary heart disease,I252,Old myocardial infarction,Kuan,NA
Coronary heart disease,I253,Aneurysm of heart,Kuan,NA
Coronary heart disease,I254,Coronary artery aneurysm,Kuan,NA
Coronary heart disease,I255,Ischaemic cardiomyopathy,Kuan,NA
Coronary heart disease,I256,Silent myocardial ischaemia,Kuan,NA
Coronary heart disease,I258,Other forms of chronic ischaemic heart disease,Kuan,NA
Coronary heart disease,I259,"Chronic ischaemic heart disease, unspecified",Kuan,NA
Coronary heart disease,T82.2,Mechanical complication of coronary artery bypass and valve grafts,Cross-mapped,NA
Coronary heart disease,T82.8,"Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",Cross-mapped,NA
Crohn's disease,K50,Crohn's disease [regional enteritis],Overlap,NA
Crohn's disease,K50.0,Crohn disease of small intestine,Cross-mapped,NA
Crohn's disease,K50.1,Crohn disease of large intestine,Cross-mapped,NA
Crohn's disease,K50.8,Other Crohn disease,Cross-mapped,NA
Crohn's disease,K50.9,"Crohn disease, unspecified",Cross-mapped,NA
Cystic Fibrosis,E13.9,Other specified diabetes mellitus without complications,Cross-mapped,NA
Cystic Fibrosis,E84,Cystic fibrosis,Kuan,NA
Cystic Fibrosis,E84.0,Cystic fibrosis with pulmonary manifestations,Cross-mapped,NA
Cystic Fibrosis,E84.1,Cystic fibrosis with intestinal manifestations,Cross-mapped,NA
Cystic Fibrosis,E84.8,Cystic fibrosis with other manifestations,Cross-mapped,NA
Cystic Fibrosis,E84.9,"Cystic fibrosis, unspecified",Cross-mapped,NA
Cystic renal disease,Q61 , Cystic kidney disease,New code list,NA
Cystic renal disease,Q61.8 , Other cystic kidney diseases,New code list,NA
Cystic renal disease,Q61.9 ," Cystic kidney disease, unspecified",New code list,NA
Cystic renal disease,Q61.1 ," Polycystic kidney, autosomal recessive",New code list,NA
Cystic renal disease,Q61.2 ," Polycystic kidney, autosomal dominant",New code list,NA
Cystic renal disease,Q61.3 ," Polycystic kidney, unspecified",New code list,NA
Cystic renal disease,Q61.5 , Medullary cystic kidney,New code list,NA
Dementia,F00,Dementia in Alzheimer's disease,Kuan,NA
Dementia,F01,Vascular dementia,Overlap,NA
Dementia,F01.0,Vascular dementia of acute onset,Cross-mapped,NA
Dementia,F01.1,Multi-infarct dementia,Cross-mapped,NA
Dementia,F01.2,Subcortical vascular dementia,Cross-mapped,NA
Dementia,F01.3,Mixed cortical and subcortical vascular dementia,Cross-mapped,NA
Dementia,F01.8,Other vascular dementia,Cross-mapped,NA
Dementia,F01.9,"Vascular dementia, unspecified",Cross-mapped,NA
Dementia,F02,Dementia in other diseases classified elsewhere,Cross-mapped,NA
Dementia,F03,Unspecified dementia,Overlap,NA
Dementia,F05.1,Delirium superimposed on dementia,Overlap,NA
Dementia,F10.7,Mental and behavioural disorders due to use of alcohol residual and late-onset psychotic disorder,Cross-mapped,NA
Dementia,G30,Alzheimer's disease,Kuan,NA
Dementia,G30.0,Alzheimer disease with early onset,Cross-mapped,NA
Dementia,G30.1,Alzheimer disease with late onset,Cross-mapped,NA
Dementia,G30.8,Other Alzheimer disease,Cross-mapped,NA
Dementia,G30.9,"Alzheimer disease, unspecified",Cross-mapped,NA
Dementia,G31.0,Circumscribed brain atrophy,Cross-mapped,NA
Depression,F20.4,Post-schizophrenic depression,Cross-mapped,NA
Depression,F25.1,"Schizoaffective disorder, depressive type",Cross-mapped,NA
Depression,F32,Depressive episode,Overlap,NA
Depression,F32.0,Mild depressive episode,Cross-mapped,NA
Depression,F32.1,Moderate depressive episode,Cross-mapped,NA
Depression,F32.2,Severe depressive episode without psychotic symptoms,Cross-mapped,NA
Depression,F32.3,Severe depressive episode with psychotic symptoms,Cross-mapped,NA
Depression,F32.8,Other depressive episodes,Cross-mapped,NA
Depression,F32.9,"Depressive episode, unspecified",Cross-mapped,NA
Depression,F33,Recurrent depressive disorder,Kuan,NA
Depression,F33.0,"Recurrent depressive disorder, current episode mild",Cross-mapped,NA
Depression,F33.1,"Recurrent depressive disorder, current episode moderate",Cross-mapped,NA
Depression,F33.2,"Recurrent depressive disorder, current episode severe without psychotic symptoms",Cross-mapped,NA
Depression,F33.3,"Recurrent depressive disorder, current episode severe with psychotic symptoms",Cross-mapped,NA
Depression,F33.4,"Recurrent depressive disorder, currently in remission",Cross-mapped,NA
Depression,F33.8,Other recurrent depressive disorders,Cross-mapped,NA
Depression,F33.9,"Recurrent depressive disorder, unspecified",Cross-mapped,NA
Depression,F34,Persistent mood [affective] disorders,Cross-mapped,NA
Depression,F34.0,Cyclothymia,Cross-mapped,NA
Depression,F34.1,Dysthymia,Cross-mapped,NA
Depression,F34.8,Other persistent mood [affective] disorders,Cross-mapped,NA
Depression,F34.9,"Persistent mood [affective] disorder, unspecified",Cross-mapped,NA
Depression,F38,Other mood [affective] disorders,Cross-mapped,NA
Depression,F38.0,Other single mood [affective] disorders,Cross-mapped,NA
Depression,F38.1,Other recurrent mood [affective] disorders,Cross-mapped,NA
Depression,F41.2,Mixed anxiety and depressive disorder,Cross-mapped,NA
Depression,F53.0,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified",Cross-mapped,NA
Depression,F92.0,Depressive conduct disorder,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),B00.0,Eczema herpeticum,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),D82.0,Wiskott-Aldrich syndrome,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),H01.1,Noninfectious dermatoses of eyelid,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),H60.5,"Acute otitis externa, noninfective",Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),H61.0,Perichondritis of external ear,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),J45.0,Predominantly allergic asthma,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L08.8,Other specified local infections of skin and subcutaneous tissue,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L08.9,"Local infection of skin and subcutaneous tissue, unspecified",Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L20,Atopic dermatitis,Overlap,NA
Dermatitis (atopc/contact/other/unspecified),L20.0,Besnier prurigo,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L20.8,Other atopic dermatitis,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L20.9,"Atopic dermatitis, unspecified",Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L22,Diaper [napkin] dermatitis,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L23,Allergic contact dermatitis,Kuan,NA
Dermatitis (atopc/contact/other/unspecified),L23.0,Allergic contact dermatitis due to metals,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L23.1,Allergic contact dermatitis due to adhesives,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L23.2,Allergic contact dermatitis due to cosmetics,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L23.4,Allergic contact dermatitis due to dyes,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L23.5,Allergic contact dermatitis due to other chemical products,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L23.7,"Allergic contact dermatitis due to plants, except food",Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L23.8,Allergic contact dermatitis due to other agents,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L23.9,"Allergic contact dermatitis, unspecified cause",Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L24,Irritant contact dermatitis,Kuan,NA
Dermatitis (atopc/contact/other/unspecified),L24.0,Irritant contact dermatitis due to detergents,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L24.1,Irritant contact dermatitis due to oils and greases,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L24.2,Irritant contact dermatitis due to solvents,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L24.3,Irritant contact dermatitis due to cosmetics,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L24.5,Irritant contact dermatitis due to other chemical products,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L24.7,"Irritant contact dermatitis due to plants, except food",Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L24.8,Irritant contact dermatitis due to other agents,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L24.9,"Irritant contact dermatitis, unspecified cause",Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L25,Unspecified contact dermatitis,Kuan,NA
Dermatitis (atopc/contact/other/unspecified),L25.0,Unspecified contact dermatitis due to cosmetics,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L25.1,Unspecified contact dermatitis due to drugs in contact with skin,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L25.2,Unspecified contact dermatitis due to dyes,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L25.3,Unspecified contact dermatitis due to other chemical products,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L25.4,Unspecified contact dermatitis due to food in contact with skin,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L25.5,"Unspecified contact dermatitis due to plants, except food",Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L25.8,Unspecified contact dermatitis due to other agents,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L25.9,"Unspecified contact dermatitis, unspecified cause",Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L26,Exfoliative dermatitis,Overlap,NA
Dermatitis (atopc/contact/other/unspecified),L27,Dermatitis due to substances taken internally,Overlap,NA
Dermatitis (atopc/contact/other/unspecified),L27.0,Generalized skin eruption due to drugs and medicaments,Cross-mapped,NA
Dermatitis (atopc/contact/other/unspecified),L27.1,Localized skin eruption due to drugs and medicaments,Cross-mapped,NA
