Condition,ICD10code,ICD10codeDescr
Dermatitis (atopc/contact/other/unspecified),L23.2,Allergic contact dermatitis due to cosmetics
Dermatitis (atopc/contact/other/unspecified),L23.4,Allergic contact dermatitis due to dyes
Dermatitis (atopc/contact/other/unspecified),L23.5,Allergic contact dermatitis due to other chemical products
Dermatitis (atopc/contact/other/unspecified),L23.7,Allergic contact dermatitis due to plants, except food
Dermatitis (atopc/contact/other/unspecified),L23.8,Allergic contact dermatitis due to other agents
Dermatitis (atopc/contact/other/unspecified),L23.9,Allergic contact dermatitis, unspecified cause
Dermatitis (atopc/contact/other/unspecified),L24,Irritant contact dermatitis
Dermatitis (atopc/contact/other/unspecified),L24.0,Irritant contact dermatitis due to detergents
Dermatitis (atopc/contact/other/unspecified),L24.1,Irritant contact dermatitis due to oils and greases
Dermatitis (atopc/contact/other/unspecified),L24.2,Irritant contact dermatitis due to solvents
Dermatitis (atopc/contact/other/unspecified),L24.3,Irritant contact dermatitis due to cosmetics
Dermatitis (atopc/contact/other/unspecified),L24.5,Irritant contact dermatitis due to other chemical products
Dermatitis (atopc/contact/other/unspecified),L24.7,Irritant contact dermatitis due to plants, except food
Dermatitis (atopc/contact/other/unspecified),L24.8,Irritant contact dermatitis due to other agents
Dermatitis (atopc/contact/other/unspecified),L24.9,Irritant contact dermatitis, unspecified cause
Dermatitis (atopc/contact/other/unspecified),L25,Unspecified contact dermatitis
Dermatitis (atopc/contact/other/unspecified),L25.0,Unspecified contact dermatitis due to cosmetics
Dermatitis (atopc/contact/other/unspecified),L25.1,Unspecified contact dermatitis due to drugs in contact with skin
Dermatitis (atopc/contact/other/unspecified),L25.2,Unspecified contact dermatitis due to dyes
Dermatitis (atopc/contact/other/unspecified),L25.3,Unspecified contact dermatitis due to other chemical products
Dermatitis (atopc/contact/other/unspecified),L25.4,Unspecified contact dermatitis due to food in contact with skin
Dermatitis (atopc/contact/other/unspecified),L25.5,Unspecified contact dermatitis due to plants, except food
Dermatitis (atopc/contact/other/unspecified),L25.8,Unspecified contact dermatitis due to other agents
Dermatitis (atopc/contact/other/unspecified),L25.9,Unspecified contact dermatitis, unspecified cause
Dermatitis (atopc/contact/other/unspecified),L26,Exfoliative dermatitis
Dermatitis (atopc/contact/other/unspecified),L27,Dermatitis due to substances taken internally
Dermatitis (atopc/contact/other/unspecified),L27.0,Generalized skin eruption due to drugs and medicaments
Dermatitis (atopc/contact/other/unspecified),L27.1,Localized skin eruption due to drugs and medicaments
Dermatitis (atopc/contact/other/unspecified),L27.2,Dermatitis due to ingested food
Dermatitis (atopc/contact/other/unspecified),L27.8,Dermatitis due to other substances taken internally
Dermatitis (atopc/contact/other/unspecified),L27.9,Dermatitis due to unspecified substance taken internally
Dermatitis (atopc/contact/other/unspecified),L28,Lichen simplex chronicus and prurigo
Dermatitis (atopc/contact/other/unspecified),L28.0,Lichen simplex chronicus
Dermatitis (atopc/contact/other/unspecified),L28.1,Prurigo nodularis
Dermatitis (atopc/contact/other/unspecified),L28.2,Other prurigo
Dermatitis (atopc/contact/other/unspecified),L30.0,Nummular dermatitis
Dermatitis (atopc/contact/other/unspecified),L30.1,Dyshidrosis [pompholyx]
Dermatitis (atopc/contact/other/unspecified),L30.2,Cutaneous autosensitization
Dermatitis (atopc/contact/other/unspecified),L30.3,Infective dermatitis
Dermatitis (atopc/contact/other/unspecified),L30.5,Pityriasis alba
Dermatitis (atopc/contact/other/unspecified),L30.8,Other specified dermatitis
Dermatitis (atopc/contact/other/unspecified),L30.9,Dermatitis
Dermatitis (atopc/contact/other/unspecified),L30.9,Dermatitis, unspecified
Dermatitis (atopc/contact/other/unspecified),L56.2,Photocontact dermatitis [berloque dermatitis]
Dermatitis (atopc/contact/other/unspecified),L56.4,Polymorphous light eruption
Dermatitis (atopc/contact/other/unspecified),L56.8,Other specified acute skin changes due to ultraviolet radiation
Dermatitis (atopc/contact/other/unspecified),L57.8,Other skin changes due to chronic exposure to nonionizing radiation
Dermatitis (atopc/contact/other/unspecified),L58.9,Radiodermatitis, unspecified
Dermatitis (atopc/contact/other/unspecified),L59.0,Erythema ab igne [dermatitis ab igne]
Dermatitis (atopc/contact/other/unspecified),L59.8,Other specified disorders of skin and subcutaneous tissue related to radiation
Dermatitis (atopc/contact/other/unspecified),L71.0,Perioral dermatitis
Dermatitis (atopc/contact/other/unspecified),L71.8,Other rosacea
Diabetes,E10,Insulin-dependent diabetes mellitus
Diabetes,E10.0,Type 1 diabetes mellitus with coma
Diabetes,E10.1,Type 1 diabetes mellitus with ketoacidosis
Diabetes,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Diabetes,E10.7,Type 1 diabetes mellitus with multiple complications
Diabetes,E10.9,Type 1 diabetes mellitus without complications
Diabetes,E11,Non-insulin-dependent diabetes mellitus
Diabetes,E11.0,Type 2 diabetes mellitus with coma
Diabetes,E11.1,Type 2 diabetes mellitus with ketoacidosis
Diabetes,E11.3,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Diabetes,E11.7,Type 2 diabetes mellitus with multiple complications
Diabetes,E11.9,Type 2 diabetes mellitus without complications
Diabetes,E12,Malnutrition-related diabetes mellitus
Diabetes,E12.0,Malnutrition-related diabetes mellitus with coma
Diabetes,E12.1,Malnutrition-related diabetes mellitus with ketoacidosis
Diabetes,E13,Other specified diabetes mellitus
Diabetes,E13.0,Other specified diabetes mellitus with coma
Diabetes,E13.1,Other specified diabetes mellitus with ketoacidosis
Diabetes,E13.9,Other specified diabetes mellitus without complications
Diabetes,E14,Unspecified diabetes mellitus
Diabetes,E14.0,Unspecified diabetes mellitus with coma
Diabetes,E14.1,Unspecified diabetes mellitus with ketoacidosis
Diabetes,E14.2,Unspecified diabetes mellitus with renal complications
Diabetes,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
Diabetes,E14.6,Unspecified diabetes mellitus with other specified complications
Diabetes,E14.7,Unspecified diabetes mellitus with multiple complications
Diabetes,E14.8,Unspecified diabetes mellitus with unspecified complications
Diabetes,E14.9,Unspecified diabetes mellitus without complications
Diabetes,G590,Diabetic mononeuropathy
Diabetes,G632,Diabetic polyneuropathy
Diabetes,H280,Diabetic cataract
Diabetes,H360,Diabetic retinopathy
Diabetes,M142,Diabetic arthropathy
Diabetes,N083,Glomerular disorders in diabetes mellitus
Diabetes,O240,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus
Diabetes,O241,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus
Diabetes,O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus
Diabetes,O243,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus
Diabetes,P70.2,Neonatal diabetes mellitus
Diabetic eye disease,E10.3,Insulin-dependent diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E10.3,Insulin-dependent diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E10.4,Insulin-dependent diabetes mellitus - With neurological complications
Diabetic eye disease,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Diabetic eye disease,E11.3,Non-insulin-dependent diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E11.3,Type 2 diabetes mellitus with ophthalmic complications
Diabetic eye disease,E11.3,Non-insulin-dependent diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E11.3,Type 2 diabetes mellitus with ophthalmic complications
Diabetic eye disease,E11.4,Non-insulin-dependent diabetes mellitus - With neurological complications
Diabetic eye disease,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Diabetic eye disease,E12.3,Malnutrition-related diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E12.3,Malnutrition-related diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E12.4,Malnutrition-related diabetes mellitus - With neurological complications
Diabetic eye disease,E13.3,Other specified diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E13.3,Other specified diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E13.4,Other specified diabetes mellitus - With neurological complications
Diabetic eye disease,E14.3,Unspecified diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E14.3,Unspecified diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E14.4,Unspecified diabetes mellitus - With neurological complications
Diabetic eye disease,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
Diabetic eye disease,G59.0,Diabetic mononeuropathy
Diabetic eye disease,G63.2,Diabetic polyneuropathy
Diabetic eye disease,H28.0,Diabetic cataract
Diabetic eye disease,H28.0,Diabetic cataract
Diabetic eye disease,H280,Diabetic cataract
Diabetic eye disease,H35.0,Background retinopathy and retinal vascular changes
Diabetic eye disease,H35.2,Other proliferative retinopathy
Diabetic eye disease,H36.0,Diabetic retinopathy
Diabetic eye disease,H36.0,Diabetic retinopathy
Diabetic eye disease,H360,Diabetic retinopathy
Diabetic neurological complications,E10.4,Insulin-dependent diabetes mellitus - With neurological complications
Diabetic neurological complications,E10.4,Insulin-dependent diabetes mellitus - With neurological complications
Diabetic neurological complications,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Diabetic neurological complications,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Diabetic neurological complications,E11.4,Non-insulin-dependent diabetes mellitus - With neurological complications
Diabetic neurological complications,E11.4,Non-insulin-dependent diabetes mellitus - With neurological complications
Diabetic neurological complications,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Diabetic neurological complications,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Diabetic neurological complications,E12.4,Malnutrition-related diabetes mellitus - With neurological complications
Diabetic neurological complications,E12.4,Malnutrition-related diabetes mellitus - With neurological complications
Diabetic neurological complications,E13.4,Other specified diabetes mellitus - With neurological complications
Diabetic neurological complications,E13.4,Other specified diabetes mellitus - With neurological complications
Diabetic neurological complications,E14.4,Unspecified diabetes mellitus - With neurological complications
Diabetic neurological complications,E14.4,Unspecified diabetes mellitus - With neurological complications
Diabetic neurological complications,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
Diabetic neurological complications,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
Diabetic neurological complications,G59.0,Diabetic mononeuropathy
Diabetic neurological complications,G59.0,Diabetic mononeuropathy
Diabetic neurological complications,G590,Diabetic mononeuropathy
Diabetic neurological complications,G63.2,Diabetic polyneuropathy
Diabetic neurological complications,G63.2,Diabetic polyneuropathy
Diabetic neurological complications,G632,Diabetic polyneuropathy
Disorders of autonomic nervous system,G83.4,Cauda equina syndrome
Disorders of autonomic nervous system,G90,Disorders of autonomic nervous system
Disorders of autonomic nervous system,G90.0,Idiopathic peripheral autonomic neuropathy
Disorders of autonomic nervous system,G90.1,Familial dysautonomia [Riley-Day]
Disorders of autonomic nervous system,G90.2,Horner syndrome
Disorders of autonomic nervous system,G90.4,Autonomic dysreflexia
Disorders of autonomic nervous system,G90.9,Disorder of autonomic nervous system, unspecified
Disorders of autonomic nervous system,G99.0,Autonomic neuropathy in endocrine and metabolic diseases
Disorders of autonomic nervous system,G99.1,Other disorders of autonomic nervous system in other diseases classified elsewhere
Disorders of autonomic nervous system,K59.2,Neurogenic bowel, not elsewhere classified
Disorders of autonomic nervous system,M89.0,Algoneurodystrophy
Diverticular disease of intestine,K38.2,Diverticulum of appendix
Diverticular disease of intestine,K57,Diverticular disease of intestine
Diverticular disease of intestine,K57.0,Diverticular disease of small intestine with perforation and abscess
Diverticular disease of intestine,K57.1,Diverticular disease of small intestine without perforation or abscess
Diverticular disease of intestine,K57.2,Diverticular disease of large intestine with perforation and abscess
Diverticular disease of intestine,K57.3,Diverticular disease of large intestine without perforation or abscess
Diverticular disease of intestine,K57.8,Diverticular disease of intestine, part unspecified, with perforation and abscess
Diverticular disease of intestine,K57.9,Diverticular disease of intestine, part unspecified, without perforation or abscess
Down's syndrome,Q90,Down's syndrome
Down's syndrome,Q90.0,Trisomy 21, meiotic nondisjunction
Down's syndrome,Q90.1,Trisomy 21, mosaicism (mitotic nondisjunction)
Down's syndrome,Q90.2,Trisomy 21, translocation
Down's syndrome,Q90.9,Down syndrome, unspecified
Dysmenorrhoea,F45.8,Other somatoform disorders
Dysmenorrhoea,N94.4,Primary dysmenorrhoea
Dysmenorrhoea,N94.5,Secondary dysmenorrhoea
Dysmenorrhoea,N94.6,Dysmenorrhoea
Dysmenorrhoea,N94.6,Dysmenorrhoea, unspecified
Eating disorders,F50,Eating disorders
Eating disorders,F50.0,Anorexia nervosa
Eating disorders,F50.1,Atypical anorexia nervosa
Eating disorders,F50.2,Bulimia nervosa
Eating disorders,F50.3,Atypical bulimia nervosa
Eating disorders,F50.4,Overeating associated with other psychological disturbances
Eating disorders,F50.8,Other eating disorders
Eating disorders,F50.9,Eating disorder, unspecified
Eating disorders,R63.0,Anorexia
Eating disorders,R63.2,Polyphagia
